b_kpc,b_low_kpc,b_high_kpc,DM_excess_pc_cm3,DM_err_pc_cm3,N_pairs,N_unique_frb,host_mass_logMsun,host_z
73.1843946820664,0.0,125.0,85.20815253281003,49.286631912200164,19,14,10.491571364569374,0.205696
191.8541457590326,125.0,250.0,68.01876070532563,34.51288822746753,37,19,10.51040578324914,0.178909
316.6083799327164,250.0,375.0,92.15857049342273,29.027945042153657,47,19,10.509917431471798,0.165126
443.33636808654643,375.0,500.0,115.97376421656298,49.610724663260484,93,21,10.64663663466472,0.189081
567.1032950426297,500.0,625.0,79.30984372702859,39.52513274075298,121,23,10.482145232272227,0.173221
694.5091931323047,625.0,750.0,109.93041231543815,44.6455481298329,136,26,10.54790997673677,0.17737799999999998
814.6892331263415,750.0,875.0,86.31674905030998,32.53194591356284,153,27,10.556546501857555,0.181783
936.1035935265093,875.0,1000.0,77.74851925715106,32.3274186109278,168,28,10.405876328802659,0.17156149999999998
1064.1274886685492,1000.0,1125.0,73.6937163209068,41.3814426445247,203,26,10.552542026271926,0.187974
1183.670727715559,1125.0,1250.0,90.20381644176037,39.81824332755108,219,28,10.544930743386686,0.183539
1310.1568503067745,1250.0,1375.0,66.36847175761106,33.09587039737067,206,26,10.594255934494102,0.18342199999999997
1434.258847984809,1375.0,1500.0,54.78392378467075,34.38549686306628,219,28,10.5782758093941,0.198831
1563.9902889724628,1500.0,1625.0,58.746731651010876,32.348341847507314,262,25,10.583165947568617,0.2043825
1690.8280963681605,1625.0,1750.0,68.42906325825695,35.25829757163318,249,28,10.507862752459344,0.191626
1808.7949738065306,1750.0,1875.0,68.36302411786076,32.697104678963846,251,27,10.523836212774434,0.196469
1937.566192994723,1875.0,2000.0,56.85942754837885,33.35350780197307,243,27,10.57655337870904,0.221946
