run_id,r_s_kpc,v0_kms,b_kpc,DM_norm,sigma_norm
rs30_v150,30,150,10,1.0,0.0
rs30_v150,30,150,30,1.0361462763015226,0.012858075830535415
rs30_v150,30,150,60,1.1209977266042899,0.045988796036541865
rs30_v150,30,150,100,1.1917727069582629,0.1400418721028174
rs30_v150,30,150,150,1.0818442915072246,0.20225747059551671
rs30_v150,30,150,200,0.7070685608364236,0.16621435502429702
rs30_v150,30,150,240,0.0,0.0
rs30_v300,30,300,10,1.0,0.0
rs30_v300,30,300,30,1.020096858170522,0.011581995129436981
rs30_v300,30,300,60,1.0783146114605258,0.031555250011790534
rs30_v300,30,300,100,1.2043270027114878,0.08335991296968509
rs30_v300,30,300,150,1.4090560913530263,0.25339796873429044
rs30_v300,30,300,200,1.418054926138135,0.5941569394128574
rs30_v300,30,300,240,0.0,0.0
