name,redshift,dm_exgal,expected_DMcos_z,DM_excess_vs_model
fen,0.4,561.5,382.0909568465398,179.40904315346017
zach,0.043,186.3,57.48629994793595,128.81370005206406
ishita,0.351,335.4,336.6104738785082,-1.2104738785081963
alex,0.2507,371.0,243.24794730223388,127.75205269776612
whitney,0.479,415.9,456.1096468665647,-40.2096468665647
mark,0.0111,40.0,39.8364115748683,0.16358842513169947
erdos,0.3714,429.5,355.53809045145186,73.96190954854814
quincy,0.622,586.8,595.4185797552315,-8.618579755231508
oran,0.3005,312.4,289.75252697544295,22.64747302455703
jackie,0.0894,213.9,91.55628879371751,122.34371120628249
gertrude,0.361,597.0,345.88893822392794,251.11106177607206
ansel,0.2414,572.7,234.40353778344132,338.2964622165587
ada,0.262,1019.5,253.90710538125504,765.5928946187449
elektra,0.1138,576.4,112.37807895126824,464.02192104873177
etienne,0.1585,275.1,153.98698918390264,121.11301081609739
juan,0.284,387.8,274.4508181780926,113.3491818219074
koyaanisqatsi,0.229,405.3,222.52248677894292,182.7775132210571
mifanshan,0.975,1347.1,939.0339777127349,408.066022287265
nina,0.2395,359.5,232.58841921473143,126.91158078526857
isha,0.2505,319.7,243.0579487744948,76.64205122550518
charlotte,0.2764,508.3,267.38232726275737,240.91767273724264
nihari,0.554,662.3,528.4448084026527,133.85519159734724
leonidas,0.094,552.1,95.32587612325302,456.774123876747
ferb,0.531,789.5,506.0185442064992,283.4814557935008
phineas,0.271,571.3,262.34001947519687,308.9599805248031
mikayla,0.301,406.9,290.21594328860334,116.68405671139664
bruce,1.354,1204.1,1296.7670636100213,-92.66706361002139
fatima,0.327,412.0,314.3370054311237,97.66299456887629
tildis,0.1265,306.0,123.81688371698309,182.18311628301691
pingu,0.4525,547.8,431.1112035075067,116.68879649249328
johndoe,0.5535,591.5,527.9553165348983,63.544683465101684
mizu,0.07,395.1,76.35174858474416,318.7482514152559
squanto,0.2625,356.5,254.37634492484892,102.12365507515108
gemechu,0.3355,441.3,322.22608963148383,119.07391036851618
nikhil,0.37,445.2,354.23911301264684,90.96088698735315
pushkin ,0.968,1371.7,932.3531151183591,439.3468848816409
annie,0.1185,317.3,116.5547306540766,200.74526934592342
bubble,0.21,501.5,204.1352333379918,297.3647666620082
casey,0.287,453.2,277.23558818401995,175.96441181598004
FRB20121102A,0.1927,369.7,187.26010325437355,182.43989674562644
FRB20171020A,0.0087,77.6,39.2881795133032,38.311820486696796
FRB20180301A,0.3304,384.4,317.49264575823054,66.90735424176944
FRB20180916B,0.0337,149.9,51.79642736457349,98.10357263542652
FRB20180924A,0.3212,321.7,308.9542840886337,12.74571591136629
FRB20181030A,0.0039,62.4,39.2881795133032,23.1118204866968
FRB20181112A,0.4755,547.5,452.79251892303364,94.70748107696636
FRB20190102C,0.2912,307.1,281.1314970656643,25.96850293433573
FRB20190520B,0.241,1150.2,234.02140755844977,916.1785924415503
FRB20190523A,0.66,723.6,632.9973783774357,90.60262162256436
FRB20190608B,0.1178,302.9,115.92857637558964,186.97142362441033
FRB20190711A,0.5217,531.5,497.0029545880816,34.49704541191841
FRB20190714A,0.2365,465.7,229.72244252729482,235.97755747270517
FRB20191001A,0.234,463.7,227.329043679097,236.370956320903
FRB20191228A,0.243,265.1,235.93205868340752,29.167941316592504
FRB20200120E,0.0008,47.1,39.2881795133032,7.811820486696803
FRB20200430A,0.161,352.9,156.39640694861004,196.50359305138994
FRB20200906A,0.3688,542.0,353.1257037793854,188.8742962206146
FRB20201123A,0.0507,181.1,62.568160497983065,118.53183950201694
FRB20201124A,0.0982,271.1,98.86377114062162,172.2362288593784
FRB20210117A,0.2145,694.7,208.5045074596324,486.19549254036764
FRB20210320C,0.2797,345.4,270.45172723640803,74.94827276359194
FRB20210410D,0.1415,518.8,137.77594870777529,381.02405129222467
FRB20210807D,0.1293,130.0,126.40356941092104,3.596430589078963
FRB20211127I,0.0469,192.5,60.05362598995303,132.44637401004698
FRB20211203C,0.3439,571.4,330.02205640756824,241.37794359243173
FRB20211212A,0.0707,170.2,76.88238369624682,93.31761630375317
FRB20220105A,0.2785,558.1,269.3357018573333,288.76429814266675
FRB20220610A,1.015,1427.2,977.2128084068255,449.98719159317454
